# Parsed DOID file.
# Columns are source id, dest id.
DOID:0060024	DOID:2115
DOID:0060025	DOID:2115
DOID:0060026	DOID:2115
DOID:0060027	DOID:2583
DOID:0060028	DOID:2583
DOID:0060029	DOID:417
DOID:0060030	DOID:417
DOID:0060031	DOID:417
DOID:0060032	DOID:417
DOID:0060033	DOID:438
DOID:0060036	DOID:0050700
DOID:0060037	DOID:150
DOID:0060038	DOID:0060037
DOID:0060039	DOID:417
DOID:0060040	DOID:0060037
DOID:0060041	DOID:0060040
DOID:0060042	DOID:0060041
DOID:0060043	DOID:150
DOID:0060044	DOID:0060043
DOID:0060045	DOID:1766
DOID:0060046	DOID:93
DOID:0060047	DOID:8927
DOID:0060049	DOID:417
DOID:0060050	DOID:417
DOID:0060051	DOID:417
DOID:0060053	DOID:870
DOID:0060054	DOID:0060053
DOID:0060056	DOID:2914
DOID:0060057	DOID:3044
DOID:0060058	DOID:2531
DOID:0060060	DOID:0060058
DOID:0060061	DOID:0050749
DOID:0060062	DOID:557
DOID:0060063	DOID:8955
DOID:0060064	DOID:8955
DOID:0060065	DOID:8955
DOID:0060066	DOID:8955
DOID:0060067	DOID:700
DOID:0060068	DOID:10314
DOID:0060071	DOID:14566
DOID:0060072	DOID:14566
DOID:0060073	DOID:0060083
DOID:0060074	DOID:8791
DOID:0060075	DOID:1612
DOID:0060076	DOID:1612
DOID:0060077	DOID:1612
DOID:0060078	DOID:1612
DOID:0060079	DOID:1612
DOID:0060080	DOID:1612
DOID:0060081	DOID:1612
DOID:0060082	DOID:0060097
DOID:0060083	DOID:0050686
DOID:0060084	DOID:0060072
DOID:0060085	DOID:0060072
DOID:0060086	DOID:0050622
DOID:0060087	DOID:0050622
DOID:0060088	DOID:0060086
DOID:0060089	DOID:0060085
DOID:0060090	DOID:0060115
DOID:0060091	DOID:0060085
DOID:0060092	DOID:0060085
DOID:0060094	DOID:0060123
DOID:0060095	DOID:0060086
DOID:0060096	DOID:0060115
DOID:0060097	DOID:0060085
DOID:0060098	DOID:0060094
DOID:0060099	DOID:0060085
DOID:0060100	DOID:0050686
DOID:0060101	DOID:0060084
DOID:0060102	DOID:201
DOID:0060103	DOID:3620
DOID:0060104	DOID:4205
DOID:0060106	DOID:1319
DOID:0060108	DOID:1319
DOID:0060109	DOID:0060086
DOID:0060110	DOID:0060086
DOID:0060111	DOID:0060086
DOID:0060112	DOID:0060086
DOID:0060114	DOID:0060086
DOID:0060115	DOID:0060085
DOID:0060116	DOID:3093
DOID:0060117	DOID:0060085
DOID:0060118	DOID:7
DOID:0060119	DOID:3119
DOID:0060121	DOID:0060085
DOID:0060122	DOID:0050686
DOID:0060123	DOID:0060099
DOID:0060125	DOID:2916
DOID:0060126	DOID:0060125
DOID:0060127	DOID:0060125
DOID:0060128	DOID:0060125
DOID:0060129	DOID:0060125
DOID:0060130	DOID:4090
DOID:0060131	DOID:4090
DOID:0060132	DOID:4090
DOID:0060133	DOID:4090
DOID:0060134	DOID:4090
DOID:0060135	DOID:4090
DOID:0060136	DOID:4090
DOID:0060137	DOID:4090
DOID:0060138	DOID:4090
DOID:0060139	DOID:4090
DOID:0060140	DOID:4090
DOID:0060141	DOID:4090
DOID:0060142	DOID:4090
DOID:0060143	DOID:4090
DOID:0060144	DOID:4090
DOID:0060145	DOID:4090
DOID:0060146	DOID:4090
DOID:0060147	DOID:4090
DOID:0060148	DOID:4090
DOID:0060149	DOID:4090
DOID:0060150	DOID:4090
DOID:0060151	DOID:4090
DOID:0060152	DOID:4090
DOID:0060153	DOID:0060155
DOID:0060154	DOID:4090
DOID:0060155	DOID:4090
DOID:0060156	DOID:0060155
DOID:0060157	DOID:986
DOID:0060158	DOID:0014667
DOID:0060159	DOID:9252
DOID:0060160	DOID:12377
DOID:0060162	DOID:1441
DOID:0060163	DOID:4737
DOID:0060164	DOID:4737
DOID:0060165	DOID:8619
DOID:0060166	DOID:3312
DOID:0060167	DOID:1596
DOID:0060168	DOID:9265
DOID:0060169	DOID:0050703
DOID:0060170	DOID:1827
DOID:0060171	DOID:0050703
DOID:0060172	DOID:0050705
DOID:0060173	DOID:0050736
DOID:0060174	DOID:0060176
DOID:0060175	DOID:0060176
DOID:0060176	DOID:9252
DOID:0060177	DOID:0060176
DOID:0060178	DOID:10024
DOID:0060179	DOID:0050888
DOID:0060180	DOID:0050589
DOID:0060181	DOID:0060180
DOID:0060182	DOID:0060180
DOID:0060183	DOID:0060182
DOID:0060184	DOID:0060182
DOID:0060185	DOID:0060180
DOID:0060186	DOID:0060180
DOID:0060187	DOID:0060180
DOID:0060188	DOID:8778
DOID:0060189	DOID:8778
DOID:0060190	DOID:8778
DOID:0060191	DOID:8778
DOID:0060192	DOID:8778
DOID:0060193	DOID:332
DOID:0060194	DOID:332
DOID:0060195	DOID:332
DOID:0060196	DOID:332
DOID:0060197	DOID:332
DOID:0060198	DOID:332
DOID:0060199	DOID:332
DOID:0060200	DOID:332
DOID:0060201	DOID:332
DOID:0060202	DOID:332
DOID:0060203	DOID:332
DOID:0060204	DOID:332
DOID:0060205	DOID:332
DOID:0060206	DOID:332
DOID:0060207	DOID:332
DOID:0060208	DOID:332
DOID:0060209	DOID:332
DOID:0060210	DOID:332
DOID:0060211	DOID:332
DOID:0060212	DOID:332
DOID:0060213	DOID:332
DOID:0060214	DOID:332
DOID:0060215	DOID:3213
DOID:0060216	DOID:5614
DOID:0060217	DOID:5614
DOID:0060218	DOID:225
DOID:0060219	DOID:10619
DOID:0060220	DOID:1555
DOID:0060221	DOID:225
DOID:0060223	DOID:0060047
DOID:0060224	DOID:10273
DOID:0060225	DOID:225
DOID:0060228	DOID:10941
DOID:0060229	DOID:225
DOID:0060231	DOID:225
DOID:0060232	DOID:225
DOID:0060233	DOID:225
DOID:0060243	DOID:4186
DOID:0060244	DOID:93
DOID:0060249	DOID:0080010
DOID:0060250	DOID:0060249
DOID:0060253	DOID:9884
DOID:0060255	DOID:66
DOID:0060259	DOID:0080015
DOID:0060260	DOID:5614
DOID:0060261	DOID:0060260
DOID:0060262	DOID:77
DOID:0060264	DOID:1289
DOID:0060265	DOID:0060264
DOID:0060266	DOID:0060264
DOID:0060270	DOID:0060264
DOID:0060271	DOID:0060264
DOID:0060276	DOID:0060264
DOID:0060277	DOID:0060264
