DOID:12382	MESH:D017029
DOID:12384	MESH:D004403
DOID:12385	MESH:D004405
DOID:12386	MESH:D001447
DOID:12387	MESH:D018500
DOID:12388	MESH:D020790
DOID:9834	MESH:D006956
DOID:12549	MESH:D006506
DOID:9565	MESH:D003914
DOID:4844	MESH:D004806
DOID:5648	MESH:C562943
DOID:200	MESH:D005870
DOID:201	MESH:D009372
DOID:1521	MESH:D002430
DOID:203	MESH:D005096
DOID:205	MESH:D015576
DOID:1525	MESH:D010201
DOID:801	MESH:D006395
DOID:10575	MESH:D002128
DOID:809	MESH:D019970
DOID:10573	MESH:D010018
DOID:5467	MESH:D003230
DOID:5463	MESH:D015834
DOID:8057	MESH:D008579
DOID:0050486	MESH:D005076
DOID:12096	MESH:D011906
DOID:9743	MESH:D003929
DOID:4594	MESH:D008579
DOID:9741	MESH:D001660
DOID:9740	MESH:D017562
DOID:12098	MESH:D014277
DOID:9746	MESH:D006484
DOID:9744	MESH:D003922
DOID:9988	MESH:D009494
DOID:3901	MESH:D014847
DOID:3906	MESH:D001984
DOID:3904	MESH:D002283
DOID:4607	MESH:D001661
DOID:3908	MESH:D002289
DOID:4603	MESH:D017488
DOID:9986	MESH:C537131
DOID:2030	MESH:D001008
DOID:11716	MESH:D011236
DOID:11714	MESH:D016640
DOID:11712	MESH:D003923
DOID:11713	MESH:D003925
DOID:3052	MESH:D001449
DOID:4025	MESH:D013231
DOID:13579	MESH:D007732
DOID:10327	MESH:D055008
DOID:4023	MESH:D008039
DOID:2034	MESH:D004678
DOID:3690	MESH:D020516
DOID:4029	MESH:D005756
DOID:321	MESH:D015493
DOID:13576	MESH:D005330
DOID:12169	MESH:D002349
DOID:13378	MESH:D009080
DOID:5166	MESH:D036821
DOID:946	MESH:D004030
DOID:13372	MESH:D019896
DOID:0060488	MESH:C537403
DOID:13371	MESH:D012612
DOID:1835	MESH:D020422
DOID:1837	MESH:D016883
DOID:13375	MESH:D013700
DOID:9181	MESH:D000562
DOID:778	MESH:D012563
DOID:338	MESH:D003390
DOID:12361	MESH:D006111
DOID:12365	MESH:D008288
DOID:3523	MESH:D020526
DOID:2479	MESH:D014717
DOID:970	MESH:D013717
DOID:971	MESH:D052256
DOID:2474	MESH:D003233
DOID:2477	MESH:D015417
DOID:13417	MESH:D004410
DOID:13417	MESH:D004411
DOID:11623	MESH:D003790
DOID:13413	MESH:D006501
DOID:11624	MESH:D010412
DOID:3478	MESH:D015811
DOID:4331	MESH:D002054
DOID:4330	MESH:D015616
DOID:4333	MESH:D010310
DOID:13419	MESH:D055496
DOID:4336	MESH:D014007
DOID:4223	MESH:D011711
DOID:10718	MESH:D005873
DOID:3878	MESH:D007418
DOID:2871	MESH:D016889
DOID:2871	MESH:D018269
DOID:3298	MESH:D014615
DOID:3877	MESH:D003109
DOID:3876	MESH:D003112
DOID:3875	MESH:D013924
DOID:8534	MESH:D005764
DOID:4659	MESH:D034801
DOID:2658	MESH:D003884
DOID:2653	MESH:D054363
DOID:13709	MESH:D061686
DOID:2893	MESH:D002583
DOID:2891	MESH:D013964
DOID:5162	MESH:D050379
DOID:8931	MESH:C536380
DOID:3275	MESH:D013945
DOID:3277	MESH:D013953
DOID:576	MESH:D011507
DOID:10003	MESH:D006313
DOID:10003	MESH:D006316
DOID:10003	MESH:D006319
DOID:573	MESH:D009408
DOID:14018	MESH:D008104
DOID:8761	MESH:D007947
DOID:8654	MESH:D006689
DOID:5160	MESH:D001162
DOID:3309	MESH:D009450
DOID:3308	MESH:D018236
DOID:8580	MESH:D054747
DOID:2253	MESH:D002577
DOID:10140	MESH:D015352
DOID:10141	MESH:D001248
DOID:2256	MESH:D010009
DOID:14121	MESH:D018438
DOID:11446	MESH:D020426
DOID:3304	MESH:D018237
DOID:3307	MESH:D013724
DOID:8616	MESH:D010411
DOID:8619	MESH:D006970
DOID:9938	MESH:D003607
DOID:14464	MESH:D009459
DOID:146	MESH:D010211
DOID:14261	MESH:D005600
DOID:0060025	MESH:D017098
DOID:14265	MESH:D011665
DOID:14264	MESH:D020936
DOID:12894	MESH:D012859
DOID:14268	MESH:D015209
DOID:12897	MESH:D013364
DOID:780	MESH:D010922
DOID:780	MESH:D011248
DOID:6376	MESH:D006971
DOID:1686	MESH:D005901
DOID:1687	MESH:D015355
DOID:1682	MESH:D006330
DOID:1681	MESH:D006343
