# UNIPROT	ENSEMBL
P57103	ENSP00000216568
B6A8C7	ENSP00000479185
Q9HB58	ENSP00000258382
Q9Y3C0	ENSP00000240079
O14832	ENSP00000263038
Q96T52	ENSP00000388327
O43439	ENSP00000364428
A6NCW3	ENSP00000473163
P55058	ENSP00000335290
P17483	ENSP00000328928
P62945	ENSP00000485567
P08118	ENSP00000463092
P08118	ENSP00000462641
Q9Y2Z9	ENSP00000333946
O43347	ENSP00000257552
Q08623	ENSP00000370467
P57103	ENSP00000377863
O43439	ENSP00000341865
Q9NZW5	ENSP00000222644
O95167	ENSP00000477919
O43439	ENSP00000433270
Q08623	ENSP00000406260
Q13085	ENSP00000478547
O43439	ENSP00000352622
Q08623	ENSP00000396452
P05408	ENSP00000482615
P18669	ENSP00000359991
P55058	ENSP00000361497
Q9NPA2	ENSP00000337816
Q8NC01	ENSP00000326407
P57103	ENSP00000436688
Q08623	ENSP00000441208
P55058	ENSP00000361508
Q9NZW5	ENSP00000379737
O43439	ENSP00000262653
P57103	ENSP00000433531
P62699	ENSP00000368835
P55058	ENSP00000417138
P0C1Z6	ENSP00000481443
Q9H611	ENSP00000268043
P62699	ENSP00000368834
Q96BZ8	ENSP00000480516
Q8N5J2	ENSP00000310923
O43439	ENSP00000380902
P55058	ENSP00000411671
Q9H611	ENSP00000328174
P57103	ENSP00000350560
P43362	ENSP00000243314
Q13219	ENSP00000330658
P62699	ENSP00000261353
Q16637	ENSP00000370083
C9J6K1	ENSP00000417035
Q13085	ENSP00000482368
Q9H611	ENSP00000452792
Q8N5J2	ENSP00000354814
Q14332	ENSP00000323901
P62699	ENSP00000383974
P62699	ENSP00000385278
Q16637	ENSP00000424926
Q8N5J2	ENSP00000354669
Q96BZ8	ENSP00000481079
Q16378	ENSP00000477689
Q8N5J2	ENSP00000437174
Q9NWF4	ENSP00000254853
Q4KMZ1	ENSP00000291358
Q99788	ENSP00000311733
Q99788	ENSP00000447579
A8MQ27	ENSP00000429797
Q99788	ENSP00000449716
