# Gene_A	Gene_B	Weight
ENSG00000131374	ENSG00000156973	2E-2
ENSG00000145216	ENSG00000156976	6.6E-3
ENSG00000152818	ENSG00000157106	8.3E-3
ENSG00000152894	ENSG00000157181	1.1E-2
ENSG00000013297	ENSG00000157240	2.4E-2
ENSG00000151067	ENSG00000157330	6E-3
ENSG00000145191	ENSG00000157353	2.2E-2
ENSG00000147202	ENSG00000157445	1.7E-2
ENSG00000153823	ENSG00000157450	2.3E-2
ENSG00000055609	ENSG00000157500	6.5E-3
ENSG00000127603	ENSG00000157540	1.1E-2
ENSG00000145216	ENSG00000157601	6.5E-3
ENSG00000151067	ENSG00000157613	7.1E-3
ENSG00000155052	ENSG00000157613	1E-2
ENSG00000152894	ENSG00000157693	1.6E-2
ENSG00000148219	ENSG00000157823	2.9E-2
ENSG00000128815	ENSG00000157873	7E-3
ENSG00000109452	ENSG00000157978	1.9E-2
ENSG00000069020	ENSG00000157985	1.8E-2
ENSG00000141376	ENSG00000158109	9.3E-3
ENSG00000152894	ENSG00000158158	1.2E-2
ENSG00000120594	ENSG00000158201	1.3E-2
ENSG00000013297	ENSG00000158286	1.2E-2
ENSG00000155052	ENSG00000158286	9.9E-3
ENSG00000156299	ENSG00000158286	4.9E-3
ENSG00000151322	ENSG00000158292	1.4E-2
